@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_tag {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X, NULL}
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
persepsi,NOUN,NOUN
(titik),NOUN,PUNCT
Tenaga,NULL,PROPN
kerja,PROPN,NOUN
adalah,NOUN,AUX
seluruh,AUX,DET
jumlah,DET,NOUN
penduduk,NOUN,NOUN
yang,NOUN,PRON
dianggap,PRON,VERB
dapat,VERB,ADV
bekerja,ADV,VERB
dan,VERB,CCONJ
sanggup,CCONJ,ADV
bekerja,ADV,VERB
jika,VERB,SCONJ
tidak,SCONJ,PART
ada,PART,VERB
permintaan,VERB,NOUN
kerja,NOUN,NOUN
(titik),NOUN,PUNCT
Potensi,NULL,PROPN
Desa,PROPN,PROPN
yang,PROPN,PRON
bisa,PRON,ADV
diangkat,ADV,VERB
ialah,VERB,AUX
menciptakan,AUX,VERB
tambak,VERB,NOUN
ikan,NOUN,NOUN
(koma),NOUN,PUNCT
namun,PUNCT,SCONJ
itu,SCONJ,DET
baru,DET,ADV
dalam,ADV,ADP
tahap,ADP,NOUN
rencana,NOUN,NOUN
dan,NOUN,CCONJ
pelaksanaannya,CCONJ,NOUN
belum,NOUN,ADV
(titik),ADV,PUNCT
Trenggalek,NULL,PROPN
adalah,PROPN,AUX
sebuah,AUX,DET
kecamatan,DET,NOUN
di,NOUN,ADP
Kabupaten,ADP,PROPN
Trenggalek,PROPN,PROPN
(koma),PROPN,PUNCT
Provinsi,PUNCT,PROPN
Jawa,PROPN,PROPN
Timur,PROPN,PROPN
(koma),PROPN,PUNCT
Indonesia,PUNCT,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
merupakan,CCONJ,VERB
pusat,VERB,NOUN
pemerintahan,NOUN,NOUN
dan,NOUN,CCONJ
ekonomi,CCONJ,NOUN
Kabupaten,NOUN,PROPN
Trenggalek,PROPN,PROPN
(titik),PROPN,PUNCT
Pada,NULL,ADP
tahun,ADP,NOUN
1976,NOUN,NUM
(koma),NUM,PUNCT
Emilia,PUNCT,PROPN
menikah,PROPN,VERB
dengan,VERB,ADP
Rio,ADP,PROPN
Tambunan,PROPN,PROPN
(koma),PROPN,PUNCT
seorang,PUNCT,DET
pejabat,DET,NOUN
Pemda,NOUN,PROPN
DKI,PROPN,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
dikaruniai,CCONJ,VERB
2,VERB,NUM
orang,NUM,NOUN
anak,NOUN,NOUN
(titikkoma),NOUN,PUNCT
penyanyi,PUNCT,NOUN
Denada,NOUN,PROPN
Elizabeth,PROPN,PROPN
Anggia,PROPN,PROPN
Ayu,PROPN,PROPN
dan,PROPN,CCONJ
Enrico,CCONJ,PROPN
Wendri,PROPN,PROPN
Rizky,PROPN,PROPN
yang,PROPN,PRON
akrab,PRON,ADJ
diapnggil,ADJ,VERB
Rico,VERB,PROPN
Tambunan,PROPN,PROPN
(titik),PROPN,PUNCT
Armada,NULL,NOUN
Germanwings,NOUN,PROPN
terdiri,PROPN,VERB
dari,VERB,ADP
pesawat,ADP,NOUN
(kurang),NOUN,PUNCT
pesawat,PUNCT,NOUN
berikut,NOUN,DET
(titikdua),DET,PUNCT
Pada,PUNCT,ADP
bulan,ADP,NOUN
Maret,NOUN,PROPN
2010,PROPN,NUM
(koma),NUM,PUNCT
usia,PUNCT,NOUN
armada,NOUN,NOUN
Germanwings,NOUN,PROPN
adalah,PROPN,AUX
8,AUX,NUM
(koma),NUM,PUNCT
6,PUNCT,NUM
tahun,NUM,NOUN
(titik),NOUN,PUNCT
Siapa,NULL,NOUN
yang,NOUN,PRON
memberikan,PRON,VERB
Nama,VERB,NOUN
ini,NOUN,DET
kepadamu,DET,ADP
(tanya),ADP,PUNCT
``,NULL,PUNCT
Kang,PUNCT,NOUN
mas,NOUN,NOUN
apa,NOUN,ADV
menangis,ADV,ADJ
(tanya),ADJ,PUNCT
Akankah,NULL,ADV
berhasil,ADV,VERB
(tanya),VERB,PUNCT
Menurut,NULL,ADP
penjelasan,ADP,NOUN
Dunn,NOUN,PROPN
(koma),PROPN,PUNCT
Mogadishu,PUNCT,PROPN
dan,PROPN,CCONJ
pemukiman,CCONJ,NOUN
Muslim,NOUN,NOUN
lainnya,NOUN,ADJ
di,ADJ,ADP
Afrika,ADP,PROPN
Timur,PROPN,PROPN
tampaknya,PROPN,ADV
(petikdua),ADV,PUNCT
mirip,PUNCT,ADJ
dengan,ADJ,ADP
Amerika,ADP,PROPN
pada,PROPN,ADP
zaman,ADP,NOUN
pertengahan,NOUN,NOUN
(koma),NOUN,PUNCT
suatu,PUNCT,DET
daratan,DET,NOUN
subur,NOUN,ADJ
berpeluang,ADJ,VERB
emas,VERB,NOUN
dan,NOUN,CCONJ
tempat,CCONJ,NOUN
untuk,NOUN,ADP
berlindung,ADP,VERB
dari,VERB,ADP
kemarau,ADP,NOUN
(koma),NOUN,PUNCT
kelaparan,PUNCT,NOUN
(koma),NOUN,PUNCT
overpopulasi,PUNCT,NOUN
(koma),NOUN,PUNCT
dan,PUNCT,CCONJ
perang,CCONJ,NOUN
yang,NOUN,PRON
melanda,PRON,VERB
tanah,VERB,NOUN
air,NOUN,NOUN
(titik),NOUN,PUNCT
(petikdua),PUNCT,PUNCT
Efek,NULL,NOUN
(kurang),NOUN,PUNCT
efek,PUNCT,NOUN
dari,NOUN,ADP
AAL,ADP,PROPN
ini,PROPN,DET
terhapus,DET,VERB
dari,VERB,ADP
angin,ADP,NOUN
surya,NOUN,NOUN
dan,NOUN,CCONJ
gaya,CCONJ,NOUN
magnetis,NOUN,ADJ
Matahari,ADJ,PROPN
(titik),PROPN,PUNCT
Apa,NULL,NOUN
kabarnya,NOUN,NOUN
(koma),NOUN,PUNCT
bunda,PUNCT,PROPN
(tanya),PROPN,PUNCT
Sejumlah,NULL,DET
kecil,DET,ADJ
myrtillin,ADJ,PROPN
(bukakurung),PROPN,PUNCT
delphinidin,PUNCT,PROPN
3,PROPN,NUM
(kurang),NUM,PUNCT
monoglucoside,PUNCT,PROPN
(tutupkurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
Chrysanthenin,PUNCT,PROPN
(bukakurung),PROPN,PUNCT
cyanidin,PUNCT,PROPN
3,PROPN,NUM
(kurang),NUM,PUNCT
monoglucoside,PUNCT,PROPN
(tutupkurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
dan,PUNCT,CCONJ
delphinidin,CCONJ,PROPN
juga,PROPN,ADV
terdapat,ADV,VERB
pada,VERB,ADP
tanaman,ADP,NOUN
ini,NOUN,DET
(titik),DET,PUNCT
Delapan,NULL,PROPN
tim,PROPN,NOUN
ditempatkan,NOUN,VERB
dalam,VERB,ADP
dua,ADP,NUM
pot,NUM,NOUN
menurut,NOUN,ADP
Peringkat,ADP,NOUN
Dunia,NOUN,PROPN
FIFA,PROPN,PROPN
per,PROPN,ADP
27,ADP,NUM
Juli,NUM,PROPN
2011,PROPN,NUM
(koma),NUM,PUNCT
di,PUNCT,SCONJ
mana,SCONJ,NOUN
pemenang,NOUN,NOUN
dari,NOUN,ADP
Babak,ADP,NOUN
Kualifikasi,NOUN,NOUN
(bukakurung),NOUN,PUNCT
yang,PUNCT,PRON
saat,PRON,ADP
pengundian,ADP,NOUN
belum,NOUN,ADV
diketahui,ADV,VERB
juaranya,VERB,NOUN
(tutupkurung),NOUN,PUNCT
ditempatkan,PUNCT,VERB
pada,VERB,ADP
peringkat,ADP,NOUN
ke,NOUN,NUM
(kurang),NUM,PUNCT
8,PUNCT,NUM
(titik),NUM,PUNCT
Taman,NULL,PROPN
Wilhelmina,PROPN,PROPN
dibangun,PROPN,VERB
atas,VERB,ADP
prakarsa,ADP,NOUN
Gubernur,NOUN,PROPN
Jenderal,PROPN,PROPN
Van,PROPN,PROPN
De,PROPN,PROPN
Bosch,PROPN,PROPN
tahun,PROPN,NOUN
1834,NOUN,NUM
(titik),NUM,PUNCT
Ia,NULL,PRON
terkenal,PRON,ADJ
setelah,ADJ,ADP
berhasil,ADP,VERB
membongkar,VERB,VERB
beberapa,VERB,DET
kasus,DET,NOUN
kriminal,NOUN,NOUN
yang,NOUN,PRON
terjadi,PRON,VERB
di,VERB,ADP
sekolah,ADP,NOUN
tersebut,NOUN,DET
(titik),DET,PUNCT
Sang,NULL,DET
kijang,DET,NOUN
mengantarnya,NOUN,VERB
menuju,VERB,VERB
sebuah,VERB,DET
gua,DET,NOUN
yang,NOUN,PRON
indah,PRON,ADJ
di,ADJ,ADP
alam,ADP,NOUN
bawah,NOUN,ADP
tanah,ADP,NOUN
(titik),NOUN,PUNCT
Aleksander,NULL,PROPN
juga,PROPN,ADV
memerintahkan,ADV,VERB
bahwa,VERB,SCONJ
Attalos,SCONJ,PROPN
harus,PROPN,ADV
dibunuh,ADV,VERB
(titik),VERB,PUNCT
Sulit,NULL,PROPN
untuk,PROPN,ADP
menemukan,ADP,VERB
air,VERB,NOUN
tanah,NOUN,NOUN
di,NOUN,ADP
Desa,ADP,PROPN
Nglembu,PROPN,PROPN
(titik),PROPN,PUNCT
Keselamatan,NULL,PROPN
umumnya,PROPN,ADV
didefinisikan,ADV,VERB
sebagai,VERB,ADP
evaluasi,ADP,NOUN
dampak,NOUN,NOUN
dari,NOUN,ADP
adanya,ADP,VERB
risiko,VERB,NOUN
kematian,NOUN,NOUN
(koma),NOUN,PUNCT
cedera,PUNCT,NOUN
(koma),NOUN,PUNCT
atau,PUNCT,CCONJ
kerusakan,CCONJ,NOUN
pada,NOUN,ADP
manusia,ADP,NOUN
atau,NOUN,CCONJ
benda,CCONJ,NOUN
(titik),NOUN,PUNCT
Ini,NULL,DET
adalah,DET,AUX
gelar,AUX,NOUN
internasional,NOUN,ADJ
pertama,ADJ,ADJ
yang,ADJ,PRON
dimenangkan,PRON,VERB
pelatih,VERB,NOUN
Monterrey,NOUN,PROPN
(koma),PROPN,PUNCT
Víctor,PUNCT,PROPN
Manuel,PROPN,PROPN
Vucetich,PROPN,PROPN
setelah,PROPN,ADP
serangkaian,ADP,DET
panjang,DET,ADJ
gelar,ADJ,NOUN
liga,NOUN,NOUN
(titik),NOUN,PUNCT
Grup,NULL,NOUN
yang,NOUN,PRON
terakhir,PRON,ADJ
disebut,ADJ,VERB
tadi,VERB,NOUN
melancarkan,NOUN,VERB
protes,VERB,NOUN
keras,NOUN,ADJ
terhadap,ADJ,ADP
berbagai,ADP,DET
hal,DET,NOUN
(koma),NOUN,PUNCT
mulai,PUNCT,VERB
dari,VERB,ADP
kebijaksanaan,ADP,NOUN
pemerintah,NOUN,NOUN
sampai,NOUN,ADP
fasisme,ADP,NOUN
(titik),NOUN,PUNCT
Teddy,NULL,PROPN
Bear,PROPN,PROPN
Museum,PROPN,PROPN
pertama,PROPN,NUM
dibuka,NUM,VERB
di,VERB,ADP
Petersfield,ADP,PROPN
(koma),PROPN,PUNCT
Hampshire,PUNCT,PROPN
pada,PROPN,ADP
1984,ADP,NUM
(titik),NUM,PUNCT
Apakah,NULL,ADV
kita,ADV,PRON
semua,PRON,DET
harus,DET,ADV
berbalik,ADV,VERB
dan,VERB,CCONJ
semuanya,CCONJ,NOUN
mendengarkan,NOUN,VERB
dia,VERB,PRON
(tanya),PRON,PUNCT
Penggunaan,NULL,NOUN
air,NOUN,NOUN
tawar,NOUN,ADJ
dapat,ADJ,ADV
dikategorikan,ADV,VERB
sebagai,VERB,ADP
penggunaan,ADP,NOUN
konsumtif,NOUN,ADJ
dan,ADJ,CCONJ
non,CCONJ,ADJ
(kurang),ADJ,PUNCT
konsumtif,PUNCT,ADJ
(titik),ADJ,PUNCT
Sekolah,NULL,NOUN
ini,NOUN,DET
mempunyai,DET,VERB
sebutan,VERB,NOUN
SMKDOKO,NOUN,PROPN
(titik),PROPN,PUNCT
Pencurian,NULL,NOUN
ini,NOUN,DET
mengikuti,DET,VERB
pencurian,VERB,NOUN
senilai,NOUN,ADP
$162,ADP,NUM
juta,NUM,NOUN
terhadap,NOUN,ADP
karya,ADP,NOUN
(kurang),NOUN,PUNCT
karya,PUNCT,NOUN
besar,NOUN,ADJ
oleh,ADJ,ADP
Cezanne,ADP,PROPN
(koma),PROPN,PUNCT
Degas,PUNCT,PROPN
(koma),PROPN,PUNCT
Van,PUNCT,PROPN
Gogh,PROPN,PROPN
dan,PROPN,CCONJ
Monet,CCONJ,PROPN
dari,PROPN,ADP
Foundation,ADP,PROPN
EG,PROPN,PROPN
Bührle,PROPN,PROPN
di,PROPN,ADP
Zurich,ADP,PROPN
bulan,PROPN,NOUN
Februari,NOUN,PROPN
2008,PROPN,NUM
dan,NUM,CCONJ
menjadi,CCONJ,VERB
salah,VERB,DET
satu,DET,DET
pencurian,DET,NOUN
seni,NOUN,NOUN
terbesar,NOUN,ADJ
dalam,ADJ,ADP
sejarah,ADP,NOUN
(bukakurung),NOUN,PUNCT
berdasarkan,PUNCT,VERB
nilai,VERB,NOUN
lukisan,NOUN,NOUN
(tutupkurung),NOUN,PUNCT
(titik),PUNCT,PUNCT
Pemerintah,NULL,NOUN
kota,NOUN,NOUN
kediri,NOUN,PROPN
dengan,PROPN,ADP
menggunakan,ADP,VERB
organya,VERB,NOUN
DK3,NOUN,PROPN
(bukakurung),PROPN,PUNCT
Dewan,PUNCT,NOUN
Kesenian,NOUN,PROPN
Kota,PROPN,PROPN
Kediri,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
beserta,PUNCT,CCONJ
Dinas,CCONJ,PROPN
Pariwisata,PROPN,PROPN
akan,PROPN,ADV
membuat,ADV,VERB
semacam,VERB,DET
buku,DET,NOUN
panduan,NOUN,NOUN
untuk,NOUN,ADP
jaranan,ADP,NOUN
(titik),NOUN,PUNCT
Dalam,NULL,ADP
satu,ADP,NUM
CD,NUM,NOUN
(koma),NOUN,PUNCT
terdapat,PUNCT,VERB
12,VERB,NUM
lagu,NUM,NOUN
penutup,NOUN,NOUN
yang,NOUN,PRON
dinnyanyikan,PRON,VERB
oleh,VERB,ADP
Kurosaki,ADP,PROPN
dan,PROPN,CCONJ
dirilis,CCONJ,VERB
Geneon,VERB,PROPN
pada,PROPN,ADP
22,ADP,NUM
September,NUM,PROPN
2010,PROPN,NUM
(titik),NUM,PUNCT
Revolusi,NULL,PROPN
Industri,PROPN,PROPN
yang,PROPN,PRON
dimulai,PRON,VERB
pada,VERB,ADP
abad,ADP,NOUN
ke,NOUN,NUM
(kurang),NUM,PUNCT
18,PUNCT,NUM
menjadikan,NUM,VERB
Inggris,VERB,NOUN
sebagai,NOUN,ADP
negara,ADP,NOUN
industri,NOUN,NOUN
pertama,NOUN,NUM
di,NUM,ADP
dunia,ADP,NOUN
(titik),NOUN,PUNCT
Periode,NULL,NOUN
ini,NOUN,DET
disebut,DET,VERB
Gaehwa,VERB,PROPN
gyemong,PROPN,PROPN
(bukakurung),PROPN,PUNCT
Pencerahan,PUNCT,PROPN
(tutupkurung),PROPN,PUNCT
dimana,PUNCT,SCONJ
setelah,SCONJ,CCONJ
setelah,CCONJ,ADP
peristiwa,ADP,NOUN
Reformasi,NOUN,PROPN
Gabo,PROPN,PROPN
pada,PROPN,ADP
tahun,ADP,NOUN
1894,NOUN,NUM
(koma),NUM,PUNCT
bermunculan,PUNCT,VERB
sekolah,VERB,NOUN
(kurang),NOUN,PUNCT
sekolah,PUNCT,NOUN
barat,NOUN,NOUN
dan,NOUN,CCONJ
media,CCONJ,NOUN
cetak,NOUN,ADJ
yang,ADJ,PRON
menerbitkan,PRON,VERB
karya,VERB,NOUN
sastra,NOUN,NOUN
yang,NOUN,PRON
lebih,PRON,ADV
bebas,ADV,ADJ
dan,ADJ,CCONJ
tidak,CCONJ,PART
terikat,PART,VERB
aturan,VERB,NOUN
seperti,NOUN,ADP
karya,ADP,NOUN
sastra,NOUN,NOUN
klasik,NOUN,ADJ
(titik),ADJ,PUNCT
Kebijakan,NULL,PROPN
Raffles,PROPN,PROPN
tentang,PROPN,ADP
suku,ADP,NOUN
Kristen,NOUN,PROPN
(bukakurung),PROPN,PUNCT
Batak,PUNCT,PROPN
(tutupkurung),PROPN,PUNCT
kemudian,PUNCT,ADV
diteruskan,ADV,VERB
oleh,VERB,ADP
pemerintah,ADP,NOUN
Hindia,NOUN,PROPN
(kurang),PROPN,PUNCT
Belanda,PUNCT,PROPN
di,PROPN,ADP
bawah,ADP,NOUN
pimpinan,NOUN,NOUN
Cornelis,NOUN,PROPN
Elout,PROPN,PROPN
(titik),PROPN,PUNCT
Tenaga,NULL,NOUN
pertanian,NOUN,NOUN
adalah,NOUN,AUX
disiplin,AUX,NOUN
ilmu,NOUN,NOUN
yang,NOUN,PRON
membahas,PRON,VERB
penggunaan,VERB,NOUN
energi,NOUN,NOUN
di,NOUN,ADP
bidang,ADP,NOUN
pertanian,NOUN,NOUN
(titik),NOUN,PUNCT
Tanpa,NULL,ADP
dinyana,ADP,NOUN
(koma),NOUN,PUNCT
badan,PUNCT,NOUN
Samantha,NOUN,PROPN
tersambar,PROPN,VERB
petir,VERB,NOUN
dan,NOUN,CCONJ
Loretta,CCONJ,PROPN
hilang,PROPN,VERB
sehingga,VERB,SCONJ
pengguna,SCONJ,NOUN
badan,NOUN,NOUN
Samantha,NOUN,PROPN
kembali,PROPN,VERB
pada,VERB,ADP
Samantha,ADP,NOUN
sendiri,NOUN,ADJ
(titik),ADJ,PUNCT
Di,NULL,ADP
Lima,ADP,PROPN
(koma),PROPN,PUNCT
Ohio,PUNCT,PROPN
(koma),PROPN,PUNCT
Tina,PUNCT,PROPN
Cohen,PROPN,PROPN
(kurang),PROPN,PUNCT
Chang,PUNCT,PROPN
(bukakurung),PROPN,PUNCT
Jenna,PUNCT,PROPN
Ushkowitz,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
membawakan,PUNCT,VERB
versi,VERB,NOUN
akustik,NOUN,NOUN
lagu,NOUN,NOUN
(petikdua),NOUN,PUNCT
3,PUNCT,NUM
(petikdua),NUM,PUNCT
bersama,PUNCT,ADP
Sam,ADP,PROPN
Evans,PROPN,PROPN
(bukakurung),PROPN,PUNCT
Chord,PUNCT,PROPN
Overstreet,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
dan,PUNCT,CCONJ
Joe,CCONJ,PROPN
Hart,PROPN,PROPN
(bukakurung),PROPN,PUNCT
Samuel,PUNCT,PROPN
Larsen,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
(titik),PUNCT,PUNCT
Pada,NULL,ADP
tahun,ADP,NOUN
berikutnya,NOUN,ADJ
(koma),ADJ,PUNCT
Udit,PUNCT,PROPN
memenangi,PROPN,VERB
Penghargaan,VERB,PROPN
Filmfare,PROPN,PROPN
yang,PROPN,PRON
ketiga,PRON,NUM
untuk,NUM,ADP
lagu,ADP,NOUN
(petikdua),NOUN,PUNCT
Pardesi,PUNCT,PROPN
(petikdua),PROPN,PUNCT
dalam,PUNCT,ADP
lagu,ADP,NOUN
Raja,NOUN,PROPN
Hindustani,PROPN,PROPN
(titik),PROPN,PUNCT
Pedang,NULL,NOUN
tersebut,NOUN,DET
akan,DET,ADV
selalu,ADV,ADV
kembali,ADV,VERB
kepadanya,VERB,ADP
setiap,ADP,DET
kali,DET,NOUN
dilepaskan,NOUN,VERB
(titikkoma),VERB,PUNCT
itulah,PUNCT,DET
sebabnya,DET,NOUN
dikatakan,NOUN,VERB
bahwa,VERB,SCONJ
Xuan,SCONJ,PROPN
Wu,PROPN,PROPN
selalu,PROPN,ADV
menggenggam,ADV,VERB
erat,VERB,ADJ
pedang,ADJ,NOUN
tersebut,NOUN,DET
(koma),DET,PUNCT
tidak,PUNCT,PART
bisa,PART,ADV
melepaskannya,ADV,VERB
(titik),VERB,PUNCT
Mulan,NULL,PROPN
Jameela,PROPN,PROPN
(bukakurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
nama,PUNCT,NOUN
lahir,NOUN,VERB
Raden,VERB,PROPN
Terry,PROPN,PROPN
Tantri,PROPN,PROPN
Wulansari,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
adalah,PUNCT,AUX
seorang,AUX,DET
penyanyi,DET,NOUN
dan,NOUN,CCONJ
aktris,CCONJ,NOUN
berkebangsaan,NOUN,VERB
Indonesia,VERB,PROPN
(titik),PROPN,PUNCT
Dia,NULL,PRON
pernah,PRON,ADV
bermain,ADV,VERB
di,VERB,ADP
klub,ADP,NOUN
utamanya,NOUN,ADJ
seperti,ADJ,ADP
Reipas,ADP,PROPN
(koma),PROPN,PUNCT
HJK,PUNCT,PROPN
(koma),PROPN,PUNCT
MyPa,PUNCT,PROPN
(koma),PROPN,PUNCT
Ajax,PUNCT,PROPN
(koma),PROPN,PUNCT
FC,PUNCT,PROPN
Barcelona,PROPN,PROPN
(koma),PROPN,PUNCT
Liverpool,PUNCT,PROPN
(koma),PROPN,PUNCT
Hansa,PUNCT,PROPN
Rostock,PROPN,PROPN
(koma),PROPN,PUNCT
Malmö,PUNCT,PROPN
FF,PROPN,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
Fulham,CCONJ,PROPN
(titik),PROPN,PUNCT
Dalam,NULL,ADP
beberapa,ADP,DET
penggambaran,DET,NOUN
(koma),NOUN,PUNCT
kepala,PUNCT,NOUN
Gorgon,NOUN,PROPN
pada,PROPN,ADP
Gorgoneion,ADP,PROPN
bahkan,PROPN,ADV
memiliki,ADV,VERB
janggut,VERB,NOUN
(koma),NOUN,PUNCT
sehingga,PUNCT,SCONJ
disebut,SCONJ,VERB
juga,VERB,ADV
Gorgon,ADV,PROPN
pria,PROPN,ADJ
(titik),ADJ,PUNCT
Proses,NULL,NOUN
(kurang),NOUN,PUNCT
proses,PUNCT,NOUN
enkripsi,NOUN,NOUN
modern,NOUN,ADJ
kebanyakan,ADJ,ADJ
hanya,ADJ,ADV
memberikan,ADV,VERB
satu,VERB,DET
jalan,DET,NOUN
(koma),NOUN,PUNCT
di,PUNCT,ADP
mana,ADP,NOUN
tidak,NOUN,PART
ada,PART,VERB
proses,VERB,NOUN
pengembalian,NOUN,NOUN
enkripsi,NOUN,NOUN
(titik),NOUN,PUNCT
Rachmat,NULL,PROPN
Gobel,PROPN,PROPN
juga,PROPN,ADV
aktif,ADV,ADJ
terlibat,ADJ,VERB
menggalakkan,VERB,VERB
pembinaan,VERB,NOUN
Koperasi,NOUN,PROPN
dan,PROPN,CCONJ
Usaha,CCONJ,PROPN
Kecil,PROPN,PROPN
Menengah,PROPN,PROPN
(bukakurung),PROPN,PUNCT
UKM,PUNCT,PROPN
(tutupkurung),PROPN,PUNCT
(titik),PUNCT,PUNCT
Begitu,NULL,ADV
melihat,ADV,VERB
penampilan,VERB,NOUN
Amy,NOUN,PROPN
(koma),PROPN,PUNCT
Isabella,PUNCT,PROPN
dilarang,PROPN,VERB
bergaul,VERB,VERB
oleh,VERB,ADP
orangtuanya,ADP,NOUN
(bukakurung),NOUN,PUNCT
Robert,PUNCT,PROPN
Syarief,PROPN,PROPN
(koma),PROPN,PUNCT
Ida,PUNCT,PROPN
Kusumah,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
yang,PUNCT,PRON
terpengaruh,PRON,VERB
oleh,VERB,ADP
berita,ADP,NOUN
(kurang),NOUN,PUNCT
berita,PUNCT,NOUN
kerusuhan,NOUN,NOUN
akibat,NOUN,NOUN
pertunjukan,NOUN,NOUN
rock,NOUN,NOUN
di,NOUN,ADP
Jakarta,ADP,PROPN
(koma),PROPN,PUNCT
Padahal,PUNCT,ADV
diperlihatkan,ADV,VERB
bahwa,VERB,SCONJ
Amy,SCONJ,PROPN
juga,PROPN,ADV
rajin,ADV,VERB
sembahyang,VERB,NOUN
(titik),NOUN,PUNCT
Bahkan,NULL,SCONJ
dari,SCONJ,ADP
hobinya,ADP,NOUN
ini,NOUN,DET
(koma),DET,PUNCT
dirinya,PUNCT,PRON
sering,PRON,ADV
disebut,ADV,VERB
(kurang),VERB,PUNCT
sebut,PUNCT,VERB
sering,VERB,ADV
membuat,ADV,VERB
keputusan,VERB,NOUN
sendiri,NOUN,ADJ
(koma),ADJ,PUNCT
dengan,PUNCT,ADP
mengambil,ADP,VERB
informasi,VERB,NOUN
menurut,NOUN,ADP
buku,ADP,NOUN
yang,NOUN,PRON
dibacanya,PRON,VERB
(titik),VERB,PUNCT
Mengorbit,NULL,VERB
Matahari,VERB,NOUN
setidaknya,NOUN,ADV
3,ADV,NUM
(koma),NUM,PUNCT
5,PUNCT,NUM
tahun,NUM,NOUN
(koma),NOUN,PUNCT
Kepler,PUNCT,PROPN
akan,PROPN,ADV
menggunakan,ADV,VERB
fotometer,VERB,NOUN
luar,NOUN,NOUN
angkasa,NOUN,NOUN
yang,NOUN,PRON
dikembangkan,PRON,VERB
NASA,VERB,PROPN
(koma),PROPN,PUNCT
untuk,PUNCT,ADP
terus,ADP,ADV
memonitor,ADV,VERB
kecemerlangan,VERB,NOUN
lebih,NOUN,ADV
dari,ADV,ADP
100.000,ADP,NUM
bintang,NUM,NOUN
yang,NOUN,PRON
berada,PRON,VERB
dalam,VERB,ADP
medan,ADP,NOUN
pandangnya,NOUN,NOUN
yang,NOUN,PRON
tetap,PRON,VERB
pada,VERB,ADP
satu,ADP,NUM
tempat,NUM,NOUN
(titik),NOUN,PUNCT
Dulu,NULL,NOUN
tidak,NOUN,PART
jauh,PART,ADJ
dari,ADJ,ADP
sini,ADP,NOUN
terdapat,NOUN,VERB
percabangan,VERB,NOUN
menuju,NOUN,ADP
Kampung,ADP,PROPN
Pirusa,PROPN,PROPN
untuk,PROPN,ADP
angkutan,ADP,NOUN
pasir,NOUN,NOUN
Galanggung,NOUN,PROPN
(titik),PROPN,PUNCT
Selanjutnya,NULL,ADV
rangsangan,ADV,NOUN
dengan,NOUN,ADP
masturbasi,ADP,NOUN
diulang,NOUN,VERB
lagi,VERB,ADV
(koma),ADV,PUNCT
dan,PUNCT,CCONJ
dilanjutkan,CCONJ,VERB
dengan,VERB,ADP
hubungan,ADP,NOUN
seksual,NOUN,ADJ
seperti,ADJ,ADP
di,ADP,ADP
atas,ADP,ADP
(titik),ADP,PUNCT
YARSI,NULL,PROPN
memulakan,PROPN,VERB
kinerjanya,VERB,NOUN
sejak,NOUN,ADP
ia,ADP,PRON
lahir,PRON,VERB
dan,VERB,CCONJ
ia,CCONJ,PRON
menjadi,PRON,VERB
pemberi,VERB,NOUN
jasa,NOUN,NOUN
pelayanan,NOUN,NOUN
kesehatan,NOUN,NOUN
dan,NOUN,CCONJ
pendidikan,CCONJ,NOUN
Kedokteran,NOUN,PROPN
Islam,PROPN,PROPN
yang,PROPN,PRON
terpenting,PRON,ADJ
di,ADJ,ADP
Jakarta,ADP,PROPN
pada,PROPN,ADP
saat,ADP,NOUN
itu,NOUN,DET
(titik),DET,PUNCT
Di,NULL,ADP
bawah,ADP,NOUN
pendudukan,NOUN,NOUN
Sekutu,NOUN,PROPN
(koma),PROPN,PUNCT
Jepang,PUNCT,PROPN
mendapat,PROPN,VERB
larangan,VERB,NOUN
terbang,NOUN,NOUN
dari,NOUN,ADP
Komandan,ADP,NOUN
Tertinggi,NOUN,PROPN
Kekuatan,PROPN,PROPN
Sekutu,PROPN,PROPN
(titik),PROPN,PUNCT
Pada,NULL,ADP
saat,ADP,NOUN
ini,NOUN,DET
ia,DET,PRON
bermain,PRON,VERB
sebagai,VERB,ADP
bek,ADP,NOUN
untuk,NOUN,ADP
tim,ADP,NOUN
FC,NOUN,PROPN
Sever,PROPN,PROPN
