@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_word string
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
(koma),Clarkson,PUNCT
yang,(koma),PRON
membantu,yang,VERB
serial,membantu,NOUN
asli,serial,ADJ
mencapai,asli,VERB
puncaknya,mencapai,NOUN
pada,puncaknya,ADP
1990,pada,NUM
(kurang),1990,PUNCT
an,(kurang),NUM
(koma),an,PUNCT
bersama,(koma),ADP
dengan,bersama,ADP
produser,dengan,NOUN
Andy,produser,PROPN
Wilman,Andy,PROPN
(koma),Wilman,PUNCT
berhasil,(koma),VERB
membuat,berhasil,VERB
format,membuat,NOUN
baru,format,ADJ
untuk,baru,ADP
Top,untuk,PROPN
Gear,Top,PROPN
kepada,Gear,ADP
BBC,kepada,PROPN
(koma),BBC,PUNCT
yang,(koma),PRON
membalikkan,yang,VERB
keputusan,membalikkan,NOUN
sebelumnya,keputusan,ADJ
untuk,sebelumnya,ADP
membatalkan,untuk,VERB
acara,membatalkan,NOUN
pada,acara,ADP
tahun,pada,NOUN
2001,tahun,NUM
(titik),2001,PUNCT
Juga,NULL,ADV
putra,Juga,NOUN
H,putra,NOUN
(titik),H,PUNCT
Kusni,(titik),PROPN
(koma),Kusni,PUNCT
H,(koma),NOUN
(titik),H,PUNCT
Kusmadi,(titik),PROPN
(koma),Kusmadi,PUNCT
yang,(koma),PRON
semula,yang,NOUN
aktif,semula,ADJ
di,aktif,ADP
organisasi,di,NOUN
Pemuda,organisasi,PROPN
Muhammadiyah,Pemuda,PROPN
akhirnya,Muhammadiyah,ADV
mengikuti,akhirnya,VERB
jejak,mengikuti,NOUN
ayahnya,jejak,NOUN
hijrah,ayahnya,VERB
ke,hijrah,ADP
Lembaga,ke,PROPN
Dakwah,Lembaga,PROPN
Islam,Dakwah,PROPN
Indonesia,Islam,PROPN
pada,Indonesia,ADP
tahun,pada,NOUN
1967,tahun,NUM
(titik),1967,PUNCT
Juga,NULL,ADV
(koma),Juga,PUNCT
seseorang,(koma),NOUN
perlu,seseorang,ADV
mengetahui,perlu,VERB
jarak,mengetahui,NOUN
dari,jarak,ADP
obyek,dari,NOUN
yang,obyek,PRON
diamati,yang,VERB
dan,diamati,CCONJ
derajat,dan,NOUN
serapan,derajat,NOUN
materi,serapan,NOUN
antar,materi,ADP
bintangnya,antar,NOUN
(titik),bintangnya,PUNCT
Setelah,NULL,ADP
mendengar,Setelah,VERB
album,mendengar,NOUN
pertamanya,album,NUM
tersebut,pertamanya,DET
(koma),tersebut,PUNCT
seorang,(koma),DET
profesor,seorang,NOUN
di,profesor,ADP
bidang,di,NOUN
musik,bidang,NOUN
dari,musik,ADP
Kanada,dari,PROPN
memberikan,Kanada,VERB
Tony,memberikan,PROPN
Q,Tony,PROPN
referensi,Q,NOUN
untuk,referensi,ADP
mengirimkan,untuk,VERB
demo,mengirimkan,NOUN
untuk,demo,ADP
ikut,untuk,VERB
dalam,ikut,ADP
ajang,dalam,NOUN
Bob,ajang,PROPN
Marley,Bob,PROPN
Festival,Marley,PROPN
di,Festival,ADP
Amerika,di,PROPN
Serikat,Amerika,PROPN
(titik),Serikat,PUNCT
Berkat,NULL,ADP
ulasan,Berkat,NOUN
yang,ulasan,PRON
dibuatnya,yang,VERB
(koma),dibuatnya,PUNCT
Smith,(koma),PROPN
semakin,Smith,ADV
dekat,semakin,ADJ
dengan,dekat,ADP
Presiden,dengan,PROPN
Nixon,Presiden,PROPN
yang,Nixon,PRON
memberikan,yang,VERB
kesempatan,memberikan,NOUN
langka,kesempatan,NOUN
untuk,langka,ADP
wawancara,untuk,NOUN
pada,wawancara,ADP
tahun,pada,NOUN
1971,tahun,NUM
(titik),1971,PUNCT
Dan,NULL,CCONJ
jalan,Dan,NOUN
tersebut,jalan,DET
merupakan,tersebut,VERB
sebuah,merupakan,DET
sejarah,sebuah,NOUN
pembangunan,sejarah,NOUN
yang,pembangunan,PRON
dulunya,yang,NOUN
digunakan,dulunya,VERB
untuk,digunakan,ADP
transportasi,untuk,NOUN
utama,transportasi,ADJ
di,utama,ADP
pulau,di,NOUN
Jawa,pulau,PROPN
yang,Jawa,PRON
dibuat,yang,VERB
oleh,dibuat,ADP
Deandles,oleh,PROPN
berkebangsaan,Deandles,VERB
Belanda,berkebangsaan,PROPN
(titik),Belanda,PUNCT
Jika,NULL,SCONJ
dilihat,Jika,VERB
lebih,dilihat,ADV
dekat,lebih,ADJ
pada,dekat,ADP
apa,pada,NOUN
yang,apa,PRON
terjadi,yang,VERB
dalam,terjadi,ADP
kenyataannya,dalam,NOUN
(koma),kenyataannya,PUNCT
istilah,(koma),NOUN
rantai,istilah,NOUN
suplai,rantai,NOUN
mewakili,suplai,VERB
sebuah,mewakili,DET
serial,sebuah,NOUN
sederhana,serial,ADJ
dari,sederhana,ADP
hubungan,dari,NOUN
antara,hubungan,ADP
komoditas,antara,NOUN
dasar,komoditas,ADJ
dan,dasar,CCONJ
produk,dan,NOUN
akhir,produk,ADJ
(titik),akhir,PUNCT
Di,NULL,ADP
masa,Di,NOUN
pemerintahan,masa,NOUN
Kaisar,pemerintahan,PROPN
Gonijō,Kaisar,PROPN
dan,Gonijō,CCONJ
dilanjutkan,dan,VERB
Kaisar,dilanjutkan,PROPN
Hanazono,Kaisar,PROPN
(titik),Hanazono,PUNCT
Keadaan,NULL,NOUN
semakin,Keadaan,ADV
rumit,semakin,ADJ
ketika,rumit,SCONJ
Domitius,ketika,PROPN
Alexander,Domitius,PROPN
(koma),Alexander,PUNCT
Vicarius,(koma),PROPN
(bukakurung),Vicarius,PUNCT
semacam,(bukakurung),DET
Gubernur,semacam,NOUN
(tutupkurung),Gubernur,PUNCT
dari,(tutupkurung),ADP
Provinsi,dari,PROPN
Afrika,Provinsi,PROPN
memproklamirkan,Afrika,VERB
diri,memproklamirkan,NOUN
sebagai,diri,ADP
Augustus,sebagai,NOUN
pada,Augustus,ADP
308,pada,NUM
(titik),308,PUNCT
Menerima,NULL,VERB
Nobel,Menerima,PROPN
Fisika,Nobel,PROPN
pada,Fisika,ADP
1988,pada,NUM
untuk,1988,ADP
metode,untuk,NOUN
sinar,metode,NOUN
neutrino,sinar,PROPN
dan,neutrino,CCONJ
pertunjukan,dan,NOUN
struktur,pertunjukan,NOUN
ganda,struktur,NOUN
lepton,ganda,NOUN
terus,lepton,NOUN
penemuan,terus,NOUN
muon,penemuan,NOUN
neutrino,muon,PROPN
(titik),neutrino,PUNCT
Jubahnya,NULL,NOUN
melambangkan,Jubahnya,VERB
Garuda,melambangkan,PROPN
(titik),Garuda,PUNCT
Dari,NULL,ADP
lembaga,Dari,NOUN
legislatif,lembaga,NOUN
dapat,legislatif,ADV
digambarkan,dapat,VERB
kegiatan,digambarkan,NOUN
sidang,kegiatan,NOUN
yang,sidang,PRON
dilaksanakan,yang,VERB
selama,dilaksanakan,ADP
tahun,selama,NOUN
2005,tahun,NUM
oleh,2005,ADP
Komisi,oleh,PROPN
A,Komisi,PROPN
sebanyak,A,ADP
40,sebanyak,NUM
kali,40,NOUN
(koma),kali,PUNCT
Komisi,(koma),NOUN
B,Komisi,NOUN
sebanyak,B,ADP
23,sebanyak,NUM
kali,23,NOUN
(koma),kali,PUNCT
Komisi,(koma),PROPN
C,Komisi,PROPN
sebanyak,C,ADP
22,sebanyak,NUM
kali,22,NOUN
(koma),kali,PUNCT
Komisi,(koma),NOUN
D,Komisi,NOUN
sebanyak,D,ADP
17,sebanyak,NUM
kali,17,NOUN
(koma),kali,PUNCT
sedangkan,(koma),CCONJ
rapat,sedangkan,NOUN
(slice),rapat,SYM
sidang,(slice),NOUN
gabungan,sidang,NOUN
komisi,gabungan,NOUN
sebanyak,komisi,ADP
3,sebanyak,NUM
kali,3,NOUN
(titik),kali,PUNCT
Rhipicephalus,NULL,PROPN
sanguineus,Rhipicephalus,PROPN
merupakan,sanguineus,VERB
caplak,merupakan,NOUN
berinang,caplak,VERB
3,berinang,NUM
(koma),3,PUNCT
umumnya,(koma),ADJ
anjing,umumnya,NOUN
(titik),anjing,PUNCT
Selain,NULL,ADP
itu,Selain,DET
setiap,itu,DET
terjemahan,setiap,NOUN
Alkitab,terjemahan,NOUN
memiliki,Alkitab,VERB
bagian,memiliki,NOUN
sub,bagian,ADJ
(kurang),sub,PUNCT
pasal,(kurang),NOUN
yang,pasal,PRON
disebut,yang,VERB
dengan,disebut,ADP
perikop,dengan,NOUN
(koma),perikop,PUNCT
yaitu,(koma),SCONJ
yang,yaitu,PRON
membahas,yang,VERB
suatu,membahas,DET
topik,suatu,NOUN
tertentu,topik,DET
(titik),tertentu,PUNCT
Apakah,NULL,ADV
Aku,Apakah,PRON
mau,Aku,VERB
mereka,mau,PRON
meminta,mereka,VERB
petunjuk,meminta,NOUN
dari,petunjuk,ADP
pada-Ku,dari,NOUN
(tanya),pada-Ku,PUNCT
Pengaruh,NULL,PROPN
Islam,Pengaruh,PROPN
di,Islam,ADP
Mempawah,di,PROPN
semakin,Mempawah,ADV
kuat,semakin,ADJ
pada,kuat,ADP
era,pada,NOUN
kepemimpinan,era,NOUN
Opu,kepemimpinan,PROPN
Daeng,Opu,PROPN
Menambun,Daeng,PROPN
yang,Menambun,PRON
bertahta,yang,VERB
sejak,bertahta,ADP
tahun,sejak,NOUN
1740,tahun,NUM
M,1740,NOUN
(titik),M,PUNCT
Opu,(titik),PROPN
Daeng,Opu,PROPN
Menambun,Daeng,PROPN
berasal,Menambun,VERB
dari,berasal,ADP
Kesultanan,dari,PROPN
Luwu,Kesultanan,PROPN
Bugis,Luwu,PROPN
yang,Bugis,PRON
telah,yang,ADV
cukup,telah,ADV
lama,cukup,ADJ
menjadi,lama,VERB
kerajaan,menjadi,NOUN
bercorak,kerajaan,VERB
Islam,bercorak,PROPN
(titik),Islam,PUNCT
Pertempuran,NULL,NOUN
(kurang),Pertempuran,PUNCT
pertempuran,(kurang),NOUN
besar,pertempuran,ADJ
seperti,besar,ADP
Pertempuran,seperti,NOUN
New,Pertempuran,PROPN
Orleans,New,PROPN
1815,Orleans,NUM
dan,1815,CCONJ
Pertempuran,dan,PROPN
Baltimore,Pertempuran,PROPN
1814,Baltimore,NUM
(bukakurung),1814,PUNCT
yang,(bukakurung),PRON
menginspirasi,yang,VERB
lagu,menginspirasi,NOUN
kebangsaan,lagu,NOUN
Amerika,kebangsaan,PROPN
Serikat,Amerika,PROPN
(petikdua),Serikat,PUNCT
The,(petikdua),PROPN
Star,The,PROPN
(kurang),Star,PUNCT
Spangled,(kurang),PROPN
Banner,Spangled,PROPN
(petikdua),Banner,PUNCT
(tutupkurung),(petikdua),PUNCT
mengakibatkan,(tutupkurung),VERB
perasaan,mengakibatkan,NOUN
euforia,perasaan,NOUN
(petikdua),euforia,PUNCT
perang,(petikdua),NOUN
kemerdekaan,perang,NOUN
kedua,kemerdekaan,NUM
(petikdua),kedua,PUNCT
melawan,(petikdua),ADP
Britania,melawan,PROPN
(titik),Britania,PUNCT
Pada,NULL,ADP
tahun,Pada,NOUN
2006,tahun,NUM
daerah,2006,NOUN
ini,daerah,DET
memiliki,ini,VERB
penduduk,memiliki,NOUN
sebesar,penduduk,ADP
8298,sebesar,NUM
jiwa,8298,NOUN
(titik),jiwa,PUNCT
Sumbangsih,NULL,NOUN
lain,Sumbangsih,ADJ
yang,lain,PRON
tidak,yang,PART
terlalu,tidak,ADV
diamati,terlalu,VERB
luas,diamati,ADJ
oleh,luas,ADP
pers,oleh,NOUN
tetapi,pers,SCONJ
signifikan,tetapi,ADJ
adalah,signifikan,AUX
sebagai,adalah,ADP
fasilitator,sebagai,NOUN
dan,fasilitator,CCONJ
penghubung,dan,NOUN
dalam,penghubung,ADP
perundingan,dalam,NOUN
pemerintah,perundingan,NOUN
Filipina,pemerintah,PROPN
dengan,Filipina,ADP
MNLF,dengan,PROPN
yang,MNLF,PRON
berakhir,yang,VERB
dengan,berakhir,ADP
perdamaian,dengan,NOUN
pada,perdamaian,ADP
tahun,pada,NOUN
1996,tahun,NUM
(titik),1996,PUNCT
Lebaho,NULL,PROPN
Ulaq,Lebaho,PROPN
adalah,Ulaq,AUX
salah,adalah,DET
satu,salah,DET
desa,satu,NOUN
di,desa,ADP
kecamatan,di,PROPN
Muara,kecamatan,PROPN
Kaman,Muara,PROPN
(koma),Kaman,PUNCT
Kabupaten,(koma),PROPN
Kutai,Kabupaten,PROPN
Kartanegara,Kutai,PROPN
(koma),Kartanegara,PUNCT
Kalimantan,(koma),PROPN
Timur,Kalimantan,PROPN
(koma),Timur,PUNCT
Indonesia,(koma),PROPN
(titik),Indonesia,PUNCT
Muncul,NULL,NOUN
adalah,Muncul,AUX
kelurahan,adalah,NOUN
di,kelurahan,ADP
kecamatan,di,NOUN
Setu,kecamatan,PROPN
(koma),Setu,PUNCT
Tangerang,(koma),PROPN
Selatan,Tangerang,PROPN
(koma),Selatan,PUNCT
Banten,(koma),PROPN
(koma),Banten,PUNCT
Indonesia,(koma),PROPN
(titik),Indonesia,PUNCT
Hasil,NULL,NOUN
dari,Hasil,ADP
tumbukan,dari,NOUN
ini,tumbukan,DET
adalah,ini,AUX
pelepasan,adalah,NOUN
banyak,pelepasan,DET
anggota,banyak,NOUN
nukleon,anggota,NOUN
(bukakurung),nukleon,PUNCT
proton,(bukakurung),NOUN
dan,proton,CCONJ
neutron,dan,NOUN
(tutupkurung),neutron,PUNCT
dari,(tutupkurung),ADP
objek,dari,NOUN
yang,objek,PRON
tertumbuk,yang,VERB
(titik),tertumbuk,PUNCT
Tanaman,NULL,PROPN
yang,Tanaman,PRON
tak,yang,PART
banyak,tak,ADV
memerlukan,banyak,VERB
air,memerlukan,NOUN
justru,air,ADV
lebih,justru,ADV
populer,lebih,ADJ
(koma),populer,PUNCT
mengingat,(koma),VERB
ketiadaan,mengingat,NOUN
pengairan,ketiadaan,NOUN
intensif,pengairan,ADJ
(titik),intensif,PUNCT
Album,NULL,PROPN
kelima,Album,PROPN
Madonna,kelima,PROPN
(koma),Madonna,PUNCT
Erotica,(koma),PROPN
(koma),Erotica,PUNCT
yang,(koma),PRON
dirilis,yang,VERB
pada,dirilis,ADP
tanggal,pada,NOUN
20,tanggal,NUM
Oktober,20,PROPN
1992,Oktober,NUM
(koma),1992,PUNCT
mencapai,(koma),VERB
peringkat,mencapai,NOUN
2,peringkat,NUM
tangga,2,NOUN
album,tangga,NOUN
Billboard,album,PROPN
200,Billboard,NUM
(titik),200,PUNCT
Westendorf,NULL,PROPN
pada,Westendorf,ADP
tahun,pada,NOUN
2006,tahun,NUM
(koma),2006,PUNCT
memiliki,(koma),VERB
penduduk,memiliki,NOUN
sebanyak,penduduk,ADP
1.528,sebanyak,NUM
jiwa,1.528,NOUN
(titik),jiwa,PUNCT
Humus,NULL,NOUN
mempunyai,Humus,VERB
kemampuan,mempunyai,NOUN
meningkatkan,kemampuan,VERB
unsur,meningkatkan,NOUN
hara,unsur,NOUN
tersedia,hara,ADJ
seperti,tersedia,ADP
Ca,seperti,PROPN
(koma),Ca,PUNCT
Mg,(koma),PROPN
(koma),Mg,PUNCT
dan,(koma),CCONJ
K,dan,PROPN
(koma),K,PUNCT
humus,(koma),NOUN
juga,humus,ADV
merupakan,juga,VERB
sumber,merupakan,NOUN
energi,sumber,NOUN
jasad,energi,NOUN
mikro,jasad,ADJ
serta,mikro,CCONJ
memberikan,serta,VERB
warna,memberikan,NOUN
gelap,warna,ADJ
pada,gelap,ADP
tanah,pada,NOUN
(titik),tanah,PUNCT
Apa,NULL,NOUN
urusan,Apa,NOUN
NU,urusan,PROPN
(tanya),NU,PUNCT
Apakah,NULL,ADV
mereka,Apakah,PRON
berhasil,mereka,VERB
melakukan,berhasil,VERB
(petiksatu),melakukan,PUNCT
reformasi,(petiksatu),NOUN
sepak,reformasi,NOUN
bola,sepak,NOUN
(petiksatu),bola,PUNCT
(tanya),(petiksatu),PUNCT
Bahasa,NULL,PROPN
Sunda,Bahasa,PROPN
Kuna,Sunda,PROPN
adalah,Kuna,AUX
bentuk,adalah,NOUN
bahasa,bentuk,NOUN
Sunda,bahasa,PROPN
yang,Sunda,PRON
ditemukan,yang,VERB
pada,ditemukan,ADP
beberapa,pada,DET
catatan,beberapa,NOUN
tertulis,catatan,ADJ
(koma),tertulis,PUNCT
baik,(koma),CCONJ
di,baik,ADP
batu,di,NOUN
(bukakurung),batu,PUNCT
prasasti,(bukakurung),NOUN
(tutupkurung),prasasti,PUNCT
maupun,(tutupkurung),CCONJ
lembaran,maupun,NOUN
daun,lembaran,NOUN
kering,daun,ADJ
(bukakurung),kering,PUNCT
lontar,(bukakurung),NOUN
(tutupkurung),lontar,PUNCT
(titik),(tutupkurung),PUNCT
Cerita,NULL,NOUN
berpindah,Cerita,VERB
ke,berpindah,ADP
kedatangan,ke,NOUN
pasukan,kedatangan,NOUN
Jepang,pasukan,PROPN
tahun,Jepang,NOUN
1942,tahun,NUM
(koma),1942,PUNCT
dimana,(koma),SCONJ
anggota,dimana,NOUN
Dewan,anggota,PROPN
Kong,Dewan,PROPN
Koan,Kong,PROPN
akhirnya,Koan,ADV
ditangkap,akhirnya,VERB
dan,ditangkap,CCONJ
Rahardjo,dan,PROPN
Soetardjo,Rahardjo,PROPN
bersama,Soetardjo,CCONJ
Max,bersama,PROPN
Awuy,Max,PROPN
menjadi,Awuy,VERB
rekan,menjadi,NOUN
seperjuangan,rekan,ADJ
bawah,seperjuangan,NOUN
tanah,bawah,NOUN
dalam,tanah,ADP
pasukan,dalam,NOUN
Jepang,pasukan,PROPN
(titik),Jepang,PUNCT
Ketika,NULL,SCONJ
Tim,Ketika,PROPN
N,Tim,PROPN
dibentuk,N,VERB
pada,dibentuk,ADP
10,pada,NUM
Maret,10,PROPN
2011,Maret,NUM
(koma),2011,PUNCT
ia,(koma),PRON
diangkat,ia,VERB
sebagai,diangkat,ADP
salah,sebagai,DET
seorang,salah,DET
anggotanya,seorang,NOUN
(titik),anggotanya,PUNCT
Dan,NULL,CCONJ
akhirnya,Dan,ADV
setelah,akhirnya,SCONJ
mendengarkan,setelah,VERB
contoh,mendengarkan,NOUN
lagu,contoh,NOUN
di,lagu,ADP
album,di,NOUN
Underclass,album,PROPN
Hero,Underclass,PROPN
(koma),Hero,PUNCT
Dave,(koma),PROPN
memutuskan,Dave,VERB
untuk,memutuskan,ADP
mengundurkan,untuk,VERB
diri,mengundurkan,NOUN
dan,diri,CCONJ
membuat,dan,VERB
band,membuat,NOUN
metal,band,ADJ
yang,metal,PRON
bernama,yang,VERB
Brown,bernama,PROPN
Brigade,Brown,PROPN
(titik),Brigade,PUNCT
Dari,NULL,ADP
Suraja,Dari,PROPN
inilah,Suraja,DET
dinisbatkan,inilah,VERB
nama,dinisbatkan,NOUN
Bani,nama,PROPN
Nurinah,Bani,PROPN
(titik),Nurinah,PUNCT
PSIS,NULL,PROPN
termasuk,PSIS,VERB
di,termasuk,ADP
Wilayah,di,PROPN
I,Wilayah,PROPN
atau,I,CCONJ
Barat,atau,PROPN
(titik),Barat,PUNCT
Hal,NULL,NOUN
ini,Hal,DET
dirasa,ini,VERB
terlalu,dirasa,ADV
“,terlalu,PUNCT
mengikat,“,VERB
”,mengikat,PUNCT
generasi,”,NOUN
berikutnya,generasi,ADJ
(titik),berikutnya,PUNCT
Kata,NULL,PROPN
celebrity,Kata,PROPN
sebenarnya,celebrity,ADV
berakar,sebenarnya,VERB
dari,berakar,ADP
kata,dari,NOUN
celebrate,kata,NOUN
yang,celebrate,PRON
artinya,yang,VERB
(petiksatu),artinya,PUNCT
rayakan,(petiksatu),VERB
(petiksatu),rayakan,PUNCT
(koma),(petiksatu),PUNCT
(petiksatu),(koma),PUNCT
merayakan,(petiksatu),VERB
(petiksatu),merayakan,PUNCT
(titik),(petiksatu),PUNCT
Sekolah,NULL,PROPN
Dasar,Sekolah,PROPN
Islam,Dasar,PROPN
Terpadu,Islam,PROPN
Harapan,Terpadu,PROPN
Umat,Harapan,PROPN
memiliki,Umat,VERB
kode,memiliki,NOUN
NPSN,kode,NOUN
20110034,NPSN,NUM
(titik),20110034,PUNCT
SMA,NULL,PROPN
YPS,SMA,PROPN
merupakan,YPS,VERB
jenjang,merupakan,NOUN
terakhir,jenjang,ADJ
yang,terakhir,PRON
diidamkan,yang,VERB
oleh,diidamkan,ADP
banyak,oleh,DET
karyawan,banyak,NOUN
PT,karyawan,PROPN
INCO,PT,PROPN
di,INCO,ADP
Soroako,di,PROPN
ini,Soroako,DET
setelah,ini,ADP
SD,setelah,PROPN
dan,SD,CCONJ
SMP,dan,PROPN
sudah,SMP,ADV
beberapa,sudah,DET
tahun,beberapa,NOUN
berdiri,tahun,VERB
dan,berdiri,CCONJ
membuktikan,dan,VERB
diri,membuktikan,NOUN
mampu,diri,ADV
menghasilkan,mampu,VERB
siswa,menghasilkan,NOUN
(kurang),siswa,PUNCT
siswa,(kurang),NOUN
yang,siswa,PRON
berbobot,yang,ADJ
(titik),berbobot,PUNCT
Dalam,NULL,ADP
penelitian,Dalam,NOUN
psikologi,penelitian,NOUN
yang,psikologi,PRON
dipublikasikan,yang,VERB
tahun,dipublikasikan,NOUN
1920,tahun,NUM
(koma),1920,PUNCT
Thorndike,(koma),PROPN
meminta,Thorndike,VERB
komandan,meminta,NOUN
untuk,komandan,ADP
menilai,untuk,VERB
para,menilai,DET
prajuritnya,para,NOUN
(titikkoma),prajuritnya,PUNCT
Thorndike,(titikkoma),PROPN
menemukan,Thorndike,VERB
hubungan,menemukan,NOUN
yang,hubungan,PRON
tinggi,yang,ADJ
antar,tinggi,ADP
semua,antar,DET
sifat,semua,NOUN
positif,sifat,ADJ
dan,positif,CCONJ
semua,dan,DET
sifat,semua,NOUN
negatif,sifat,ADJ
(titik),negatif,PUNCT
Sepanjang,NULL,ADP
tahun,Sepanjang,NOUN
2003,tahun,NUM
(kurang),2003,PUNCT
2006,(kurang),NUM
itu,2006,DET
(koma),itu,PUNCT
ia,(koma),PRON
mencurahkan,ia,VERB
waktu,mencurahkan,NOUN
dan,waktu,CCONJ
tenaga,dan,NOUN
melakukan,tenaga,VERB
riset,melakukan,NOUN
di,riset,ADP
Amerika,di,PROPN
Serikat,Amerika,PROPN
dan,Serikat,CCONJ
sesekali,dan,ADV
pulang,sesekali,VERB
ke,pulang,ADP
Indonesia,ke,PROPN
(titik),Indonesia,PUNCT
Dunianya,NULL,NOUN
masih,Dunianya,ADV
dipenuhi,masih,VERB
oleh,dipenuhi,ADP
banyak,oleh,DET
unsur,banyak,NOUN
budaya,unsur,NOUN
dan,budaya,CCONJ
etnis,dan,NOUN
(titik),etnis,PUNCT
Ia,NULL,PRON
terakhir,Ia,ADV
bermain,terakhir,VERB
di,bermain,ADP
Divisi,di,PROPN
Kedua,Divisi,PROPN
Rusia,Kedua,PROPN
untuk,Rusia,ADP
tim,untuk,NOUN
FC,tim,PROPN
Syzran,FC,PROPN
(kurang),Syzran,PUNCT
2003,(kurang),PROPN
Syzran,2003,NOUN
(titik),Syzran,PUNCT
Cappuccini,NULL,PROPN
Decorati,Cappuccini,PROPN
Lebih,NULL,ADV
jauh,Lebih,ADJ
lagi,jauh,ADV
(koma),lagi,PUNCT
komunitas,(koma),NOUN
LGBT,komunitas,PROPN
semakin,LGBT,ADV
bermunculan,semakin,VERB
dari,bermunculan,ADP
hari,dari,NOUN
ke,hari,ADP
hari,ke,NOUN
(koma),hari,PUNCT
sebagai,(koma),ADP
akibat,sebagai,NOUN
dari,akibat,ADP
acara,dari,NOUN
seperti,acara,ADP
parade,seperti,NOUN
GayFest,parade,PROPN
di,GayFest,ADP
Bukares,di,PROPN
dan,Bukares,CCONJ
festival,dan,NOUN
Gay,festival,PROPN
Film,Gay,PROPN
Nights,Film,PROPN
di,Nights,ADP
Cluj,di,PROPN
(kurang),Cluj,PUNCT
Napoca,(kurang),PROPN
(titik),Napoca,PUNCT
Komisi,NULL,PROPN
Kepausan,Komisi,PROPN
untuk,Kepausan,ADP
Amerika,untuk,PROPN
Latin,Amerika,PROPN
adalah,Latin,AUX
sebuah,adalah,DET
departemen,sebuah,NOUN
dalam,departemen,ADP
Kuria,dalam,PROPN
Romawi,Kuria,PROPN
(titik),Romawi,PUNCT
Hobbit,NULL,PROPN
adalah,Hobbit,AUX
salah,adalah,NOUN
satu,salah,NOUN
jenis,satu,NOUN
bangsa,jenis,NOUN
makhluk,bangsa,NOUN
fiktif,makhluk,ADJ
dalam,fiktif,ADP
karya,dalam,NOUN
fantasi,karya,NOUN
Tolkien,fantasi,PROPN
(titik),Tolkien,PUNCT
Bank,NULL,PROPN
of,Bank,PROPN
America,of,PROPN
Merrill,America,PROPN
Lynch,Merrill,PROPN
memperoleh,Lynch,VERB
laba,memperoleh,NOUN
sebesar,laba,ADP
$724,sebesar,NUM
juta,$724,NUM
pada,juta,ADP
kuartal,pada,NOUN
keempat,kuartal,NUM
2010,keempat,NUM
(titik),2010,PUNCT
Siapa,NULL,PRON
sangka,Siapa,VERB
bahwa,sangka,SCONJ
mereka,bahwa,PRON
ditakdirkan,mereka,VERB
untuk,ditakdirkan,ADP
saling,untuk,ADV
mencintai,saling,VERB
(tanya),mencintai,PUNCT
Giggles,NULL,PROPN
adalah,Giggles,AUX
karakter,adalah,NOUN
fiksi,karakter,NOUN
pada,fiksi,ADP
kartun,pada,NOUN
Happy,kartun,PROPN
Tree,Happy,PROPN
Friends,Tree,PROPN
(titik),Friends,PUNCT
Produk,NULL,PROPN
Delphi,Produk,PROPN
ini,Delphi,DET
didistribusikan,ini,VERB
dalam,didistribusikan,ADP
beberapa,dalam,DET
rancangan,beberapa,NOUN
(titikdua),rancangan,PUNCT
Personal,(titikdua),PROPN
(koma),Personal,PUNCT
Professional,(koma),PROPN
(koma),Professional,PUNCT
Enterprise,(koma),PROPN
(bukakurung),Enterprise,PUNCT
sebelumnya,(bukakurung),ADV
Client,sebelumnya,PROPN
(slice),Client,SYM
Server,(slice),PROPN
(tutupkurung),Server,PUNCT
dan,(tutupkurung),CCONJ
Architect,dan,PROPN
(titik),Architect,PUNCT
Li,NULL,PROPN
bahkan,Li,ADV
sesumbar,bahkan,VERB
(koma),sesumbar,PUNCT
“,(koma),PUNCT
8000,“,NUM
orang,8000,NOUN
ini,orang,DET
sanggup,ini,VERB
untuk,sanggup,ADP
menghadapi,untuk,VERB
1,menghadapi,NUM
juta,1,NUM
orang,juta,NOUN
”,orang,PUNCT
Tahun,”,NOUN
618,Tahun,NUM
(koma),618,PUNCT
Kaisar,(koma),PROPN
Yang,Kaisar,PROPN
dibunuh,Yang,VERB
oleh,dibunuh,ADP
jenderalnya,oleh,NOUN
sendiri,jenderalnya,ADJ
(koma),sendiri,PUNCT
Yuwen,(koma),PROPN
Huaji,Yuwen,PROPN
dalam,Huaji,ADP
sebuah,dalam,DET
kudeta,sebuah,NOUN
di,kudeta,ADP
Jiangdu,di,PROPN
(bukakurung),Jiangdu,PUNCT
sekarang,(bukakurung),NOUN
Yangzhou,sekarang,PROPN
(koma),Yangzhou,PUNCT
Jiangsu,(koma),PROPN
(tutupkurung),Jiangsu,PUNCT
(titik),(tutupkurung),PUNCT
Air,NULL,NOUN
biasanya,Air,ADV
datang,biasanya,VERB
dari,datang,ADP
dua,dari,NUM
sumber,dua,NOUN
(titikdua),sumber,PUNCT
curah,(titikdua),NOUN
hujan,curah,NOUN
atau,hujan,CCONJ
mencairnya,atau,VERB
salju,mencairnya,NOUN
dan,salju,CCONJ
es,dan,NOUN
dengan,es,ADP
puing,dengan,NOUN
(kurang),puing,PUNCT
puing,(kurang),NOUN
vulkanik,puing,NOUN
panas,vulkanik,ADJ
(titik),panas,PUNCT
